season,year,total_us,northeast,southeast,midwest,rocky_mountain,pacific_southwest,pacific_northwest,pacific_west_total,rank,natl_snowfall_in,real_gdp_t,gdp_growth_pct,rdpi_dec,rdpi_growth_pct,olympic_host,olympic_zone,is_us_olympic,is_na_olympic,is_any_olympic,in_recession,post_epic,post_epic_pricecut,post_ikon,post_covid,covid_truncated
1978/79,1979,50.197,11.294,3.763,9.743,15.837,,,9.56,41.0,,7.32,1.2448132780082943,22896,-0.3091391997213422,,none,0,0,0,0,0,0,0,0,0
1979/80,1980,48.2,8.655,4.23,8.682,17.16,,,9.473,43.0,,7.32,0.0,23108,0.92592592592593,Lake Placid,US,1,1,1,1,0,0,0,0,0
1980/81,1981,39.7,8.953,4.172,7.688,10.486,,,8.401,46.0,,7.41,1.2295081967213184,23272,0.709710922624196,,none,0,0,0,1,0,0,0,0,0
1981/82,1982,50.718,11.467,5.064,7.846,15.337,,,11.004,39.0,,7.3,-1.4844804318488558,23585,1.344963905122043,,none,0,0,0,1,0,0,0,0,0
1982/83,1983,46.861,9.523,4.256,6.213,14.808,,,12.061,44.0,,7.88,7.9452054794520555,24758,4.973500105999573,,none,0,0,0,0,0,0,0,0,0
1983/84,1984,50.63,12.087,5.175,6.961,16.801,,,9.606,40.0,,8.32,5.583756345177671,25878,4.523790290007268,Sarajevo,overseas,0,0,1,0,0,0,0,0,0
1984/85,1985,51.354,11.083,4.394,6.899,17.626,,,11.352,35.0,,8.67,4.206730769230771,26283,1.5650359378622802,,none,0,0,0,0,0,0,0,0,0
1985/86,1986,51.921,12.836,5.218,7.201,16.869,,,9.797,34.0,,8.92,2.8835063437139485,26784,1.9061750941673283,,none,0,0,0,0,0,0,0,0,0
1986/87,1987,53.749,14.745,5.816,6.944,16.68,,,9.564,25.0,,9.32,4.484304932735439,27518,2.740442054958181,,none,0,0,0,0,0,0,0,0,0
1987/88,1988,53.908,14.421,5.885,6.783,16.564,,,10.255,24.0,,9.67,3.7553648068669565,28460,3.4232138963587566,Calgary,NA,0,1,1,0,0,0,0,0,0
1988/89,1989,53.335,12.741,5.424,7.013,16.601,,,11.556,27.0,,9.94,2.792140641158225,28743,0.9943780744905206,,none,0,0,0,0,0,0,0,0,0
1989/90,1990,50.02,13.299,4.447,6.915,16.048,,,9.311,42.0,,10.0,0.6036217303823088,28697,-0.16003896600911283,,none,0,0,0,1,0,0,0,0,0
1990/91,1991,46.722,11.157,4.257,6.486,16.706,,,8.115,45.0,,10.12,1.200000000000001,29024,1.1394919329546616,,none,0,0,0,1,0,0,0,0,0
1991/92,1992,50.835,12.252,4.425,6.535,17.687,,,9.936,38.0,,10.56,4.347826086956541,30241,4.193081587651593,Albertville,overseas,0,0,1,0,0,0,0,0,0
1992/93,1993,54.032,13.217,4.66,6.978,18.602,,,10.575,22.0,,10.83,2.556818181818188,30289,0.15872490989055077,,none,0,0,0,0,0,0,0,0,0
1993/94,1994,54.637,13.718,5.808,7.364,17.503,,,10.244,19.0,,11.28,4.155124653739595,30425,0.44900789065336344,Lillehammer,overseas,0,0,1,0,0,0,0,0,0
1994/95,1995,52.677,11.265,4.746,6.907,18.412,,,11.346,30.0,,11.53,2.2163120567375794,30820,1.298274445357439,,none,0,0,0,0,0,0,0,0,0
1995/96,1996,53.983,13.825,5.693,7.284,18.148,6.012,3.022,9.034,23.0,,12.04,4.4232437120555135,31459,2.0733290071382138,,none,0,0,0,0,0,0,0,0,0
1996/97,1997,52.52,12.407,4.231,7.137,18.904,6.359,3.482,9.841,31.0,,12.58,4.485049833887045,32584,3.5760831558536488,,none,0,0,0,0,0,0,0,0,0
1997/98,1998,54.122,12.712,4.343,6.707,19.191,7.918,3.251,11.169,21.0,,13.19,4.84896661367249,33825,3.8086177264915255,Nagano,overseas,0,0,1,0,0,0,0,0,0
1998/99,1999,52.089,12.299,4.261,6.005,18.44,7.485,3.599,11.084,33.0,,13.83,4.852160727824106,34666,2.4863266814486362,,none,0,0,0,0,0,0,0,0,0
1999/00,2000,52.198,12.025,5.191,6.422,18.109,6.651,3.8,10.451,32.0,,14.23,2.8922631959508394,35821,3.331794842208513,,none,0,0,0,0,0,0,0,0,0
2000/01,2001,57.337,13.697,5.458,7.58,19.324,7.836,3.442,11.278,12.0,,14.25,0.14054813773716202,35943,0.3405823399681651,,none,0,0,0,1,0,0,0,0,0
2001/02,2002,54.411,12.188,4.994,6.98,18.123,7.947,4.179,12.126,20.0,,14.54,2.035087719298234,37066,3.124391397490478,Salt Lake City,US,1,1,1,0,0,0,0,0,0
2002/03,2003,57.594,13.991,5.833,8.129,18.728,7.885,3.027,10.913,10.0,,15.16,4.264099037138935,37884,2.2068742243565476,,none,0,0,0,0,0,0,0,0,0
2003/04,2004,57.067,12.892,5.588,7.773,18.868,8.033,3.912,11.946,13.0,,15.67,3.364116094986813,39581,4.479463625805091,,none,0,0,0,0,0,0,0,0,0
2004/05,2005,56.882,13.661,5.504,7.533,19.606,8.888,1.69,10.579,15.0,,16.14,2.999361837906833,38798,-1.978221874131525,,none,0,0,0,0,0,0,0,0,0
2005/06,2006,58.897,12.505,5.839,7.787,20.717,7.916,4.133,12.049,9.0,,16.56,2.6022304832713727,39838,2.6805505438424637,Torino,overseas,0,0,1,0,0,0,0,0,0
2006/07,2007,55.068,11.801,4.888,7.2,20.849,6.536,3.794,10.33,17.0,,16.92,2.1739130434782705,39993,0.38907575681510487,,none,0,0,0,0,0,0,0,0,0
2007/08,2008,60.502,14.261,5.204,8.099,21.324,7.617,3.998,11.615,4.0,,16.49,-2.541371158392458,40182,0.4725827019728346,,none,0,0,0,1,0,0,0,0,0
2008/09,2009,57.354,13.73,5.664,7.247,19.974,7.091,3.647,10.738,11.0,,16.5,0.06064281382656134,39807,-0.9332536956846327,,none,0,0,0,1,1,0,0,0,0
2009/10,2010,59.787,13.411,6.016,7.718,20.378,8.411,3.853,12.264,6.0,,16.96,2.7878787878787836,40771,2.4216846283316995,Vancouver,NA,0,1,1,0,1,0,0,0,0
2010/11,2011,60.54,13.887,5.789,7.811,20.9,8.111,4.042,12.153,3.0,,17.22,1.5330188679245182,41150,0.9295823011454152,,none,0,0,0,0,1,0,0,0,0
2011/12,2012,50.966,11.021,4.405,6.382,19.13,6.066,3.962,10.028,37.0,,17.49,1.5679442508710784,43190,4.957472660996354,,none,0,0,0,0,1,0,0,0,0
2012/13,2013,56.904,13.334,5.155,7.273,19.8,7.14,4.202,11.342,14.0,,18.02,3.0303030303030276,40905,-5.290576522343137,,none,0,0,0,0,1,0,0,0,0
2013/14,2014,56.491,13.386,5.769,7.695,21.1,5.154,3.387,8.541,16.0,,18.5,2.663706992230863,42763,4.542232000977875,Sochi,overseas,0,0,1,0,1,0,0,0,0
2014/15,2015,53.578,13.332,5.673,6.982,20.768,4.822,2.0,6.823,26.0,,18.89,2.108108108108109,43487,1.6930524051165685,,none,0,0,0,0,1,0,0,0,0
2015/16,2016,52.792,9.346,3.957,5.516,22.287,7.48,4.206,11.686,29.0,,19.3,2.1704605611434724,43942,1.046289695771141,,none,0,0,0,0,1,0,0,0,0
2016/17,2017,54.761,11.936,4.184,5.421,21.736,7.385,4.098,11.483,18.0,,19.88,3.005181347150243,45136,2.7172181511993188,,none,0,0,0,0,1,0,0,0,0
2017/18,2018,53.273,11.987,4.161,6.257,20.792,6.227,3.85,10.077,28.0,,20.3,2.1126760563380476,47038,4.213931230060264,PyeongChang,overseas,0,0,1,0,1,1,0,0,0
2018/19,2019,59.343,12.514,4.262,6.498,24.408,7.585,4.075,11.66,7.0,,20.99,3.3990147783251157,47334,0.6292784557166531,,none,0,0,0,0,1,1,1,0,0
2019/20,2020,51.079,11.488,3.835,6.396,20.107,5.959,3.294,9.253,36.0,,20.79,-0.9528346831824686,49374,4.309798453542912,,none,0,0,0,1,1,1,1,0,1
2020/21,2021,59.004,12.252,5.235,7.098,22.638,7.238,4.544,11.781,8.0,,21.99,5.772005772005762,49843,0.9498926560537857,,none,0,0,0,0,1,1,1,1,0
2021/22,2022,60.695,12.666,4.405,6.816,25.25,7.407,4.15,11.557,2.0,145.0,22.28,1.3187812642110108,49398,-0.8928034026844278,Beijing,overseas,0,0,1,0,1,1,1,1,0
2022/23,2023,65.387,13.238,4.286,6.52,28.174,8.527,4.642,13.169,1.0,225.0,23.03,3.366247755834828,51626,4.510304060893144,,none,0,0,0,0,1,1,1,1,0
2023/24,2024,60.4,12.4,4.2,4.8,26.7,8.0,4.2,12.2,5.0,158.0,23.59,2.4316109422492405,52349,1.4004571340022531,,none,0,0,0,0,1,1,1,1,0
2024/25,2025,61.5,,,,26.4,,4.7,,,150.0,24.06,1.9923696481559894,52557,0.3973332823931752,,none,0,0,0,0,1,1,1,1,0
